Server initialized for threading.
INFO:engineio.server:Server initialized for threading.
 * Serving Flask app 'app'
 * Debug mode: on
Address already in use
Port 3001 is in use by another program. Either identify and stop that program, or start the server with a different port.
2025-02-03 18:48:27,579 - rps_game - INFO - Match result: Creator wins
2025-02-03 18:48:27,579 - rps_game - INFO - Match result: Creator wins
2025-02-03 18:48:27,579 - rps_game - INFO - Match result: Creator wins
2025-02-03 18:48:27,580 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,580 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,580 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,580 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,580 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,580 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,580 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,580 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,581 - rps_game - INFO - Match result: Draw
2025-02-03 18:48:27,581 - rps_game - INFO - Match result: Draw
2025-02-03 18:48:27,581 - rps_game - INFO - Match result: Draw
2025-02-03 18:48:27,581 - rps_game - INFO - Match result: Draw
2025-02-03 18:48:27,581 - rps_game - INFO - Match result: Draw
2025-02-03 18:48:27,581 - rps_game - INFO - Match result: Draw
2025-02-03 18:48:27,581 - rps_game - INFO - Match result: Draw
2025-02-03 18:48:27,581 - rps_game - INFO - Match result: Draw
2025-02-03 18:48:27,581 - rps_game - INFO - Match result: Draw
2025-02-03 18:48:27,582 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,582 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,582 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,582 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,582 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,582 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,582 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,582 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,582 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,592 - rps_game - INFO - Match result: Creator wins
2025-02-03 18:48:27,592 - rps_game - INFO - Match result: Creator wins
2025-02-03 18:48:27,592 - rps_game - INFO - Match result: Creator wins
2025-02-03 18:48:27,592 - rps_game - INFO - Match result: Creator wins
2025-02-03 18:48:27,592 - rps_game - INFO - Match result: Creator wins
2025-02-03 18:48:27,592 - rps_game - INFO - Match result: Creator wins
2025-02-03 18:48:27,592 - rps_game - INFO - Match result: Creator wins
2025-02-03 18:48:27,592 - rps_game - INFO - Match result: Creator wins
2025-02-03 18:48:27,592 - rps_game - INFO - Match result: Creator wins
2025-02-03 18:48:27,592 - rps_game - INFO - Match result: Creator wins
2025-02-03 18:48:27,594 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,594 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,594 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,594 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,594 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,594 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,594 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,594 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,594 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,594 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,595 - rps_game - INFO - Match result: Joiner wins
2025-02-03 18:48:27,595 - rps_game - INFO - Match result: Joiner wins
2025-02-03 18:48:27,595 - rps_game - INFO - Match result: Joiner wins
2025-02-03 18:48:27,595 - rps_game - INFO - Match result: Joiner wins
2025-02-03 18:48:27,595 - rps_game - INFO - Match result: Joiner wins
2025-02-03 18:48:27,595 - rps_game - INFO - Match result: Joiner wins
2025-02-03 18:48:27,595 - rps_game - INFO - Match result: Joiner wins
2025-02-03 18:48:27,595 - rps_game - INFO - Match result: Joiner wins
2025-02-03 18:48:27,595 - rps_game - INFO - Match result: Joiner wins
2025-02-03 18:48:27,595 - rps_game - INFO - Match result: Joiner wins
2025-02-03 18:48:27,595 - rps_game - INFO - Match result: Joiner wins
2025-02-03 18:48:27,596 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,596 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,596 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,596 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,596 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,596 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,596 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,596 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,596 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,596 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,596 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,597 - rps_game - INFO - Match result: Draw
2025-02-03 18:48:27,597 - rps_game - INFO - Match result: Draw
2025-02-03 18:48:27,597 - rps_game - INFO - Match result: Draw
2025-02-03 18:48:27,597 - rps_game - INFO - Match result: Draw
2025-02-03 18:48:27,597 - rps_game - INFO - Match result: Draw
2025-02-03 18:48:27,597 - rps_game - INFO - Match result: Draw
2025-02-03 18:48:27,597 - rps_game - INFO - Match result: Draw
2025-02-03 18:48:27,597 - rps_game - INFO - Match result: Draw
2025-02-03 18:48:27,597 - rps_game - INFO - Match result: Draw
2025-02-03 18:48:27,597 - rps_game - INFO - Match result: Draw
2025-02-03 18:48:27,597 - rps_game - INFO - Match result: Draw
2025-02-03 18:48:27,597 - rps_game - INFO - Match result: Draw
2025-02-03 18:48:27,598 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,598 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,598 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,598 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,598 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,598 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,598 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,598 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,598 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,598 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,598 - rps_game - INFO - Match result saved to database
2025-02-03 18:48:27,598 - rps_game - INFO - Match result saved to database
